,good,bad
201,"""I don't know, Father, but believe me, the night hasbeen a terrible one and I shall remember it as long as I live.The thunder was so noisy and the lightning so bright--and I was hungry.  And then the Talking Cricket said tome, `You deserve it; you were bad;' and I said to him,`Careful, Cricket;' and he said to me, `You are a Marionetteand you have a wooden head;' and I threw the hammer athim and killed him.  It was his own fault, for I didn't wantto kill him.  And I put the pan on the coals, but the Chickflew away and said, `I'll see you again!  Remember me tothe family.' And my hunger grew, and I went out, and theold man with a nightcap looked out of the window andthrew water on me, and I came home and put my feet onthe stove to dry them because I was still hungry, and I fellasleep and now my feet are gone but my hunger isn't!Oh!--Oh!--Oh!"" And poor Pinocchio began to screamand cry so loudly that he could be heard for miles around.","""I don't know, Father, but believe me, the night hasbeen a terrible one and I shall remember it as long as I live.The thunder was so noisy and the lightning so bright--and I was hungry.  And then the Talking Cricket said tome, `You deserve it; you were bad;' and I said to him,`Careful, Cricket;' and he said to me, `You are a Marionetteand you have a wooden head;' and I threw the hammer athim and killed him.  It was his own fault, for I didn't wantto kill him.  And I put the pan on the coals, but the Chickflew away and said,"
202,"Geppetto, who had understood nothing of all thatjumbled talk, except that the Marionette was hungry, felt sorryfor him, and pulling three pears out of his pocket, offeredthem to him, saying:","Geppetto, who had understood nothing of all thatjumbled talk, except that the Marionette was hungry, felt sorryfor him, and pulling three pears out of his pocket,"
203,"""These three pears were for my breakfast, but I givethem to you gladly.  Eat them and stop weeping.""","""These three pears were for my breakfast, but I givethem to you gladly.  Eat them and stop weeping"
204,"""If you want me to eat them, please peel them for me.""","""If you want me to eat them, please peel them fo"
205,"""Peel them?"" asked Geppetto, very much surprised.  ""Ishould never have thought, dear boy of mine, that youwere so dainty and fussy about your food.  Bad, very bad!In this world, even as children, we must accustom ourselvesto eat of everything, for we never know what life mayhold in store for us!""","""Peel them?"" asked Geppetto, very much surprised.  ""Ishould never have thought, dear boy of mine, that youwere so dainty and fussy about your food.  Bad, very bad!In this world, even as children, we must accustom ourselve"
206,"""You may be right,"" answered Pinocchio, ""but I will noteat the pears if they are not peeled.  I don't like them.""","""You may be right,"" answered Pinocchio, """
207,"And good old Geppetto took out a knife, peeled thethree pears, and put the skins in a row on the table.","And good old Geppetto took out a knife, peeled thethree pea"
208,"Pinocchio ate one pear in a twinkling and started tothrow the core away, but Geppetto held his arm.",Pinocc
209,"""Oh, no, don't throw it away!  Everything in this worldmay be of some use!""","""Oh, no"
210,"""But the core I will not eat!"" cried Pinocchio in an angry tone.","""But the core I will not eat!"" cried Pinocchio in"
211,"""Who knows?"" repeated Geppetto calmly.","""Who knows?"" repeated Geppet"
212,And later the three cores were placed on the table nextto the skins.,And later the three cores were placed on the tabl
213,"Pinocchio had eaten the three pears, or rather devoured them.Then he yawned deeply, and wailed:","Pinocchio had eaten the three pears, or rather"
214,"""I'm still hungry.""","""I'm still hung"
215,"""But I have no more to give you.""","""B"
216,"""Really, nothing--nothing?""","""Rea"
217,"""I have only these three cores and these skins.""","""I "
218,"""Very well, then,"" said Pinocchio, ""if there is nothingelse I'll eat them.""","""Very well, then,"" said Pinocchio,"
219,"At first he made a wry face, but, one after another, theskins and the cores disappeared.",At first he made a w
220,"""Ah!  Now I feel fine!"" he said after eating the last one.",""""
221,"""You see,"" observed Geppetto, ""that I was right whenI told you that one must not be too fussy and too daintyabout food.  My dear, we never know what life may havein store for us!""","""You see,"" observed Geppetto, ""that I was right whenI told you that one must not be too fussy and t"
222,CHAPTER 8,CHAPTER
223,"Geppetto makes Pinocchio a new pair of feet,and sells his coat to buy him an A-B-C book","Geppetto makes Pinocchio a new pair of feet,and sells his coat t"
224,"The Marionette, as soon as his hunger was appeased,started to grumble and cry that he wanted a new pair of feet.",The 
225,"But Mastro Geppetto, in order to punish him for hismischief, let him alone the whole morning.  After dinnerhe said to him:","But Mastro Geppetto, in orde"
226,"""Why should I make your feet over again?  To see yourun away from home once more?""","""Why should I make your feet over again?  To see yourun away from home once"
227,"""I promise you,"" answered the Marionette, sobbing,""that from now on I'll be good--""","""I promise you,"" answered the Marionette, sobbing,"
228,"""Boys always promise that when they want something,""said Geppetto.","""Boys always pr"
229,"""I promise to go to school every day, to study, and to succeed--""","""I promise to go "
230,"""Boys always sing that song when they want their own will.""","""Boys always sing "
231,"""But I am not like other boys!  I am better than all ofthem and I always tell the truth.  I promise you, Father,that I'll learn a trade, and I'll be the comfort and staff ofyour old age.""","""But I am not like other boys!  I am better than all ofthem and I always tell the truth.  I promise you, Father,that "
232,"Geppetto, though trying to look very stern, felt his eyesfill with tears and his heart soften when he saw Pinocchioso unhappy.  He said no more, but taking his tools and twopieces of wood, he set to work diligently.","Geppetto, though trying to look very stern, felt his eyesfill with t"
233,"In less than an hour the feet were finished, two slender,nimble little feet, strong and quick, modeled as if by anartist's hands.","In less than an hour the feet were finished, two slender,nimble little feet, strong and qui"
234,"""Close your eyes and sleep!"" Geppetto then said to the Marionette.","""C"
235,"Pinocchio closed his eyes and pretended to be asleep,while Geppetto stuck on the two feet with a bit of gluemelted in an eggshell, doing his work so well that the jointcould hardly be seen.","Pinocchio closed his eyes and pretended to be asleep,while Geppetto stuck on the two feet with a bit of gluemelted in an eggshell, doing his work so well that the jointcould hardly be s"
236,"As soon as the Marionette felt his new feet, he gave oneleap from the table and started to skip and jump around,as if he had lost his head from very joy.","As soon as the Marionette felt his new feet, he gave oneleap from the table and started to"
237,"""To show you how grateful I am to you, Father, I'll goto school now.  But to go to school I need a suit of clothes.""","""To show you how grateful I am to you, Father, I'll goto school now.  But to go to school I need a suit o"
238,"Geppetto did not have a penny in his pocket, so hemade his son a little suit of flowered paper, a pair of shoesfrom the bark of a tree, and a tiny cap from a bit of dough.","Geppetto did not have a penny in his pocket, so hemade his son a little suit of flowered pap"
239,"Pinocchio ran to look at himself in a bowl of water, andhe felt so happy that he said proudly:",Pinocch
240,"""Now I look like a gentleman.""","""Now I look l"
241,"""Truly,"" answered Geppetto.  ""But remember that fineclothes do not make the man unless they be neat and clean.""","""Truly,"" answered Geppetto.  ""But remember that fineclothes do not make t"
242,"""Very true,"" answered Pinocchio, ""but, in order to goto school, I still need something very important.""","""Very true,"" answered Pinocchio, ""but, in order to goto school, I still need s"
243,"""What is it?""","""What is it"
244,"""An A-B-C book.""","""An A-B"
245,"""To be sure!  But how shall we get it?""","""To be sure!  But how shall we ge"
246,"""That's easy.  We'll go to a bookstore and buy it.""","""That's easy.  We'll go to a bookstore and "
247,"""And the money?""","""And the money?"
248,"""I have none.""","""I have n"
249,"""Neither have I,"" said the old man sadly.","""Neither have I,"" said the old man sad"
250,"Pinocchio, although a happy boy always, became sadand downcast at these words.  When poverty shows itself,even mischievous boys understand what it means.","Pinocchio, althou"
251,"""What does it matter, after all?"" cried Geppetto all atonce, as he jumped up from his chair.  Putting on his oldcoat, full of darns and patches, he ran out of the housewithout another word.","""What"
